a	à
altitude	attitude
an	au
ayant	avant
bleu	bien
commenceront	commencèrent
commentait	commençait
cour	coeur
dé	de
des	dès
digue	digne
do	de
dos	des
doue	donc
doux	deux
du	de
dure	dire
empocher	empêcher
en	eu
eut	eût
fie	se
fin	un
fit	et
Four	Pour
gène	gêne
groupes	groupés
hotte	botte
I'	l'
intrigues	intrigués
jeune	jeûne
jeux	yeux
las	les
lieu	rien
ligue	ligne
ll	Il
lu	tu
lune	une
m	ni
mai	mal
môme	même
moyeu	moyen
ne	me
nie	me
nier	mer
on	en
on	ou
ou	en
où	on
partis	partie
pécheur	pêcheur
peu	pen
préciserait	précisément
pus	pas
roulait	voulait
su	se
tant	tout
tante	toute
tin	un
ton	son
tontes	toutes
urgent	argent
veux	yeux
yeux	veux
