Abo	Abc
Absehen	Abscheu
altem	allem
ans	aus
ans	uns
aus	uns
Bache	Rache
Bade	Bude
Bande	Rande
bandelt	handelt
Bann	Dann
bat	hat
Baum	Raum
bestellen	bestehen
betrügt	beträgt
beute	heute
Bögen	Bösen
da	du
des	den
eisern	einem
entferntem	entferntern
fährt	führt
Fülle	Fälle
Füllen	Fällen
gebuchte	gesuchte
gewännen	gewinnen
Glänze	Glanze
Grunde	Gründe
grüneres	grösseres
Hanse	Hause
Hecht	Recht
Hechte	Rechte
heim	beim
Hessen	liessen
Karren	Narren
Kufe	Rufe
liege	liess
lob	ich
Losung	Lösung
Mais	Maß
mau	man
Mich	sich
Mindern	sondern
nie	sie
nur	mir
oben	eben
Ober	über
öder	der
Per	Der
Räume	Raume
Räumen	Bäumen
schliche	schliesse
schlössen	schlossen
schössen	schossen
Schütze	Schutze
schwacher	schwächer
Staatsbürger	Staatsbücher
stände	stande
Ton	Von
Trank	Trunk
um	uns
uns	aus
uns	was
Warme	Wärme
Wort	Wert
Wurde	Würde
zugehen	zugeben
